".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"value","V5","V15",22,24,0.738743943637599,0.460062496520447,1,"ns"
"value","V5","V30",22,27,1.31215124344855,0.189469108914629,1,"ns"
"value","V5","V60",22,27,1.87913359700626,0.0602262537054222,0.843167551875911,"ns"
"value","V5","V120",22,26,-1.35471285751105,0.175509059799304,1,"ns"
"value","V5","V300",22,30,1.8503057689618,0.064269491650657,0.843167551875911,"ns"
"value","V5","HS",22,29,2.98982947074099,0.00279133234251121,0.0502439821652018,"ns"
"value","V15","V30",24,27,0.566110373811566,0.57131875169726,1,"ns"
"value","V15","V60",24,27,1.1465763579844,0.251556752205138,1,"ns"
"value","V15","V120",24,26,-2.15666943082426,0.031031430465029,0.465471456975435,"ns"
"value","V15","V300",24,30,1.10024949276526,0.27122343172502,1,"ns"
"value","V15","HS",24,29,2.27311445411448,0.0230192836187237,0.368308537899579,"ns"
"value","V30","V60",27,27,0.598330641205672,0.549619335181699,1,"ns"
"value","V30","V120",27,26,-2.7998119408913,0.00511323859034632,0.0869250560358874,"ns"
"value","V30","V300",27,30,0.537173003601799,0.591148117192463,1,"ns"
"value","V30","HS",27,29,1.75167062778591,0.0798304602783898,0.957965523340677,"ns"
"value","V60","V120",27,26,-3.39247107361258,0.0006926524501623,0.0133330607967806,"*"
"value","V60","V300",27,30,-0.0767012816644498,0.938861184925735,1,"ns"
"value","V60","HS",27,29,1.14274924152861,0.253142718720174,1,"ns"
"value","V120","V300",26,30,3.40293842025995,0.00066665303983903,0.0133330607967806,"*"
"value","V120","HS",26,29,4.58289288056733,4.58586991830386e-06,9.63032682843811e-05,"****"
"value","V300","HS",30,29,1.25167185219374,0.210689460776014,1,"ns"
